File,Sentence,Senti
11.wav,اپ کو بتاؤں گا لیس کے بارے میں لیس بہت اچھے پروڈکٹ ہے اور اسنیکس ہیں اس یہ مسلم بچے یوز کرتے ہیں اس کو اور اس کے ڈفرنٹ فلیورز ہیں اور سب سے زیادہ فلیور یوز ہونے والا جو ہے وہ مصالحہ اور چیز ہے اور یہ زیادہ تر کولڈ ڈرنک کے ساتھ سرو کیا جاتا ہے اور بچوں کا بہت ہی پسندیدہ ہوتا ہے اس کے بہت سارے فائدے یہ ہیں کہ اس سے انرجی لیول بوسٹ ہوتا ہے اور یہ ذرا بھی وہ نہیں ہوتا مسٹر وغیرہ اس میں نہیں ہوتا کسی طریقے سے ایسٹ نہیں ہوتے,2
12.wav,السلام علیکم اج میں اپ کو لیس کے نقصانات بتانے جا رہا ہوں بیسیکلی لسٹ کھانے سے انسان کو دل کی بیماریاں ہوتی ہیں انسان کو فوڈ کے جواب کہتے ہیں اپ کو بلڈ کینسر ہوتا ہے ہائی بلڈ پریشر ہو جاتا ہے اس کے علاوہ اپ کو لیز کھانے سے جو اپ کا ویٹ ہوتا ہے وہ بھڑک بھی جاتا ہے فیڈ ملتا ہے فیٹ مطلب اپ کو کہیں بیماری ہو سکتی ہے لائک کینسر ہار ڈیسیز یعنی دل کی بیماریاں,2
13.wav,جب بھی میں لیٹ کھاتا ہوں مجھے ایک خوشنما محسوس ہوتا ہے ان کے فلیور اتنے تیز ہیں مزے دار ہوتے ہیں کہ بس ایک پیکٹ میں دل بھر جاتا ہے میرا دل لیز نے میرا دل جیت لیا ہے,1
14.wav,دنیا بھر میں پیپسی کے خرید و فروخت بہت زیادہ تھی لیکن ابھی خرید و فروخت میں ہمیں ایک ڈاؤن فل نظر اتا ہے نہ صرف اسلامک کنٹریز میں بلکہ یورپین کنٹریز نے بھی اس کا بائیکاٹ کرنا شروع کر دیا ہے اور اس کی وجہ سے ایک ہی ہے کہ یہ ایک ظاہری پروڈکٹ ہے اور اسرائیلی پروڈکٹس کو جتنی بھی کی,2
15.wav,دنیا بھر میں پیپسی کی خرید و فروخت بہت زیادہ تھی لیکن اب اس خرید و فروخت میں ہم ایک کمی نظر اتی ہے نہ صرف اسلامی ممالک میں بلکہ یورپین کنٹریز نے بھی اس کا ورکر کرنا شروع کر دیا ہے اور اس کی وجہ سے صرف ایک ہی ہے کہ یہ ایک ازادی پروڈکٹ ہے اور جتنے بھی ہیں ان کو بین کرنا چاہیے,2
16.wav,دنیا بھر میں پیپسی کی خرید و فروخت بہت زیادہ تھی لیکن اب اس خرید و فروخت میں ہمیں کمی نظر اتی ہے نہ صرف اسلامی ممالک میں بلکہ یورپین کنٹری نے بھی اس کا ورکر شروع کر دیا ہے اور اس بائیکاٹ کی وجہ صرف ایک ہی ہے کہ یہ ایک پروڈکٹ ہے اور اسرائیل جو کچھ ظلم و ستم فلسطین,2
17.wav,لیس کی فلیور اور کرنچ مجھے ہمیشہ ایکسائٹڈ کرتے ہیں ہر پیکج ایک نئی دنیا کا اغاز کرتی ہے لیز بہت اچھے ہیں,1
18.wav,لینز پھر بھی سی ہوتا ہے جب بندہ بھوک بندے کو بھوک لگتا ہے پھر بھی صحیح ہوتا ہے لیکن جب وہ بندے کو بھوک نہیں لگتا ہے تو پھر نارمل سا ہی رہتا ہے نہ بندے کا من چاہتا ہے کہ کھاؤ نہ مرنے کا من چاہتا ہے کہ نہ کھاؤ مطلب بننا نیوٹرل ہی نیوٹرل رہتا,0
19.wav,یار لسٹ جو ہے نہ وہ مجھے ابھی اچھا نہیں لگتا ہے کیونکہ میرے لئے میں جو جب بندہ کھا لیتا ہے مجھے تم معدے میں جلن بہت زیادہ ہوتی ہے تو اس وجہ سے مجھے یاد لیس بالکل پسند ہی نہیں ہے تو میں اپ کو بھی یہ مشورہ دوں گا کہ لیس کا یوز جو ہے وہ ختم کریں اور اپنے گھر میں جو ہے فرائض خود پکا کے جایا کریں تو اس سے یہ ہوگا کہ اپ کے مہینے میں جلن نہیں ہوگا,2
20.wav,جو ہوتے ہے نہ وہ بہت زیادہ مزہ اتا ہے جب بندے کو بھوک لگا ہو اور لیٹ نائٹ ہو اور بندہ لے اس کو جو ہے وہ کرے اور ساتھ ساتھ میں پھر پیپسی بھی ہو پھر تو اور مزہ اتا ہے واہ کیا بات ہے کاش ان شاء اللہ میں اج جو ہے ٹرائی کروں گا کہ لائٹ نائٹ اگر میں جاگا رہا تو میں لیس کو ضرور ٹرائی کروں گا اور اپ لوگوں کو بھی سجیسٹ کروں گا کہ اپ بھی لائف جو ہے وہ,1
21.wav,السلام علیکم میرا نام محمد سلیمان ہے اور اج میں اپ لوگوں کو لیس کے بارے میں کچھ باتیں بتانے والا ہوں لسٹ جو برینڈ ہے بالکل بھی نہیں گانا چاہیے بہت ہی گھٹیا ٹیسٹ ہو چکا ہے اج کل ڈریس کا اور سننے میں ا رہا ہے کہ جو ڈس فیکٹری میں یہ بنتا ہے وہاں پر اس میں سور کی چربی میں لاتے ہیں اور جس سے ہم مسلمانوں کو جو ہے وہ لانے کی کوشش کی جارہی ہے اور اگر ٹیسٹ کی بات کریں تو بہت ہی گھٹیا ٹیسٹ ہے بالکل بھی نہیں ہے گانا چاہیے اور اس سے سور کی سور کی سمیل اجاتی ہے بالکل سانپ جو ہے اس سے پتہ چل جاتا ہے کہ نہیں کرنا چاہیے دوسری بات یہ ہے کہ کھانے کے بعد نہ وہ مہینے میں جلن سے ہو جاتی ہے اور منہ میں گندا سا ٹیسٹ پایا جاتا ہے لیس کھانے کے بعد تمہیں یہی سجیسٹ کرتا ہوں کہ اپ بچوں سے بھی یہ جو ہے اس کو دور رکھے اور خود بھی اوائڈ کرے اور بالکل بھی نہ پائے,2
22.wav,السلام علیکم میرا نام محمد سلیمان ہے اور اج میں اپ لوگوں کو لیس کے بارے میں بتاؤں گا لیز جو ہے بہت ہی اچھا برانڈ ہے اور مجھے جب بھی بھوک لگی چاہے وہ دن ہو رات ہو سردی ہو گرمی ہو میں لیز لیز ہی کھاتا ہوں اور اس کے گانے کا کوئی الگ ہی مزہ ہے اس کا ٹیسٹ بہت ہی اچھا ہے بہت ہی زبردست ٹیسٹ ہے اور خاص طور پر لیس کے ساتھ پیپسی ہو تو پھر کیا ہی بات ہے مطلب ختم ہو جاتی ہے ساری چیزیں نہ لیس کے بعد پھر کچھ بھی نہیں تو,1
24.wav,اج میں اپ کو لیز کی بری چیزوں کے بارے میں بتاؤں گی لیٹس کی جو الو کا استعمال ہوا جاتا ہے ان کی کوالیٹی بہت بری ہوتی ہے وہ تو ہی نہیں چاہتے پلیز بنانے سے پہلے اور اس لیے اپ کے لئے کبھی کبھی جلے ہوتے ہیں اور جب وہ لیز بنا رہے ہوتے ہیں ہمیں تو پتہ بھی نہیں ہے کہ شاید وہ اپنا ہاتھ ہی نہ دھوئیں پلیز بنانے سے پہلے نینس کے اندر بہت زیادہ مصالحہ اور نمک ہوتا ہے اس لیے اپ کے معدے میں اس سے بہت زیادہ درد ہوتی ہے تو میں اپ کو کہوں گی کہ لیز نہ کھایا کریں ورنہ اپ کو بہت زیادہ بیماریوں کا سامنا کرنا پڑے گا اللہ حافظ,2
25.wav,بہت مشہور پاکستان میں اور ڈفرنٹ کنٹریز میں کھائے جاتے ہیں لیکن میں اس کے بارے میں یہ کہنا چاہوں گی جو جب یہ اسٹیبلش ہوا تھا 1960 میں تب سے اب تک اس نے بہت زیادہ چینج اچکا ہے وہ فلیور وہ کیسے کہ گورنمنٹ چینج ہوئی ہے,0
26.wav,السلام علیکم ناظرین اج میں اپ کو لیز کی اچھی چیزوں کے بارے میں بتاؤں گی لیز دنیا بھر میں بہت پسند کیے جاتے ہیں اور لیز کے پیکٹ کے اندر ایک خاص قسم کی ہوا ہوتی ہے جو اپ کے لئے اس کو تازہ اور خستہ رکھتی ہے میرے گھر میں مصالحہ میں بہت پسند کیے جاتے ہیں اور اپ کو کون سا فلیور اچھا لگتا ہے پلیز مجھے بتائیے اور اللہ حافظ,1
27.wav,السلام علیکم ناظرین اج میں اپ کو بتاؤں گی میز کے بارے میں کچھ لوگوں کو دنیا میں لیز اچھے لگتے ہیں کچھ لوگوں کو نہیں لگتے میرے خیال میں لئے صرف ٹھیک ہے بہت زیادہ لہسن کھانی چاہیے اور بہت تھوڑے بھی نہیں کھانے چاہیے مہینے میں ایک بار ٹھیک ہوئے گا اگر اپ کو دل کرے کہ اپ کو اپنا منہ کا ٹیسٹ تبدیل کرنا ہے تو اپ کھا سکتے ہیں لیکن بہت زیادہ بھی نہیں کھانے چاہیے روزانہ اپ بالکل بھی نہ کھائیں ایک اللہ حافظ,0
28.wav,السلام علیکم میرا نام حریم ہے اور اج میں اپ کو لیز کی اچھی چیزیں بتاؤں گی ہمارے گھر میں میز بہت پسند کیے جاتے ہیں لیکن اور یہ 100% خالص الوں سے بنے ہوتے ہیں یہ 100 فیصد حلال ہوتے ہیں میں جب ہی لسٹ کھاتی ہوں مجھے بہت مزہ اتا ہے ان کا ذائقہ بہترین ہے اور یہ ہمیں بہت اچھی لگتے ہیں ہمارے اسکول میں لیز بہت مشہور ہیں ان کی پیکنگ بھی بہت خوبصورت ہے یہ سب سے مزیدار اور زبردست ہے لیز خستہ بھی ہے اور سستا بھی ہے اللہ حافظ,1
29.wav,السلام علیکم میرا نام حریم ہے اور اج میں اپ کو لیز کی پوری چیزوں کا بتاؤں گی ہمارے گھر میں پہلے ہم سب لیز کھاتے تھے لیکن پچھلے سال سے لیز میں پہلی والی بات نہیں رہی لیز اب بہت عام سا برانڈ بن گیا ہے ان کی خوشبو اور ذائقہ برا ہوتا جا رہا ہے ان کی پیکنگ بھی گندی ہوتی ہے اور یہ بے ذائقے ہونے لگتے ہیں ان کے اندر نمک اور مصالوں کی وجہ سے صحت کو نقصان ہو سکتا ہے اللہ حافظ,2
30.wav,السلام علیکم میرا نام حریم زینب ہے اور میرے خیال میں لیٹس ٹھیک ہی ہوتے ہیں کبھی کبھی اپ کو اچھے لگتے ہیں اور کبھی تم بالکل کی باتیں اور بری لیز اپنی اچھی چیزوں کو بے قرار نہیں رکھ سکتا اسی لئے کچھ لوگ اس کو پسند کرتے ہیں اور کچھ ناپسند اللہ حافظ,0
31.wav,اچھا پروڈکٹ ہے تو میسج کروں گا اور یہ کہ اگر اپ مے اس کو اگر اس پروموٹ کرنے چاہیں تو اس کو ضرور پروموٹ کریں کیونکہ اس کے ذریعے لوگوں کو,1
32.wav,کافی حد تک گیم ہے میں نے بہت بڑا ہے جب بھی خیر بہت اچھا لگا ماشاء اللہ کمپنی کے بارے میں سب سے اچھی کمپنی ہے,1
33.wav,جو کیک مشہور پروڈکٹ ہے اور اج کل لوگ مہنگائی کی وجہ سے نہیں لے رہے زیادہ تر افورڈ نہیں کر سکتے ہو پیسے ملتے ہیں اور کہاں لے بھائی 100 200 کا پہنچا دیا اور اس میں پاپڑ بھی کم ہوتے ہیں جو کہ یہ صحت مند پروڈکٹ نہیں ہے تو اب میں اس کو کرنا چاہتا ہوں تو کرنا چاہتا ہوں کہ زیادہ تر بچوں کو نہ دیں شکریہ,2
34.wav,جیسا کہ اپ جانتے ہیں بچپن میں پاکستان ہوتا ہے لیکن یہ چیز زیادہ بچوں کو ہمیں نہیں دینی چاہیے اس کے اندر کوئی ہمیں پروٹین کوئی اس طرح کی چیز ہمیں نہیں ملتی لیکن پھر بھی یہ بچے وغیرہ شوق سے کھاتے ہیں ہمیں جتنا ہو سکے ان جیسے پروڈکٹس کو بچوں سے دور رکھنا چاہیے اور بالکل ان کو نہیں دینی چاہیے بالکل اچھے نہیں ہیں اس لیے اپ بالکل اس کو اس طرح سے,2
35.wav,بہت اچھے لگے میں تو بہت لائک کرتا ہوں کھاتا ہوں اور اس میں اور بہت ساری کوالٹیز ہیں اس کے ساتھ لیبر ہیں تو اپ ہی ٹرائی کریں اس کو سبسکرائب کریں تاکہ بہت اچھی ہے اور میرے سے بہت لائٹ کرتا ہوں تو اپ انشاءاللہ اپ بھی بہت اچھے لگے گا اپ کے ساتھ کھا کے دیکھیں اور اس کے بہت سارے پلیٹ میں نے اور بہت,1
36.wav,یہ چلی فلیور ہے اس کے زیادہ تر جو چیز فلیور اچھا لگتا ہے میں اپ لوگوں کو بھی سجیسٹ کروں گا کہ اس کے اور بھی فلیور ٹرائی کریں اچھی چیز ہے اس کو اپ اور بھی دیگر چیزوں میں یوز کر سکتے ہیں مثلا چارٹ اور چیزوں میں بھی یوز کر سکتی ہیں تھینک یو,1
37.wav,میں کھا رہا ہوں اس کا بہت اچھا فلیور بھی ہے ٹھیک ہے اس کو اور بھی میں فلیور کھاتا ہوں مگر یہ مجھے بہت اچھا لگتا ہے اور میں اسے بہت پسند کرتا ہوں یہ بہت اچھی چپس ہے الو کی بنتی ہے الو ملتے بھی لے کے لے کے جاتا ہے بھائی لے کے جاتے ہیں اور یہ ماشااللہ بہت اچھی چیز ہے میں اسے بہت جو ہے نہ دل سے کھاتا ہوں میرے بچے بھی کھاتے ہیں میری وائف بھی کھاتی ہے اور ہم الحمدللہ بہت پیئے شوق سے کھاتے ہیں ویلکم اپ کی مہربانی,1
38.wav,السلام علیکم میرا نام حریم ہے اور اج میں اپ کو لیز کی اچھی چیزیں بتاؤں گی ہمارے گھر میں میز بہت پسند کیے جاتے ہیں لیکن اور یہ 100% خالص الوں سے بنے ہوتے ہیں یہ 100 فیصد حلال ہوتے ہیں میں جب ہی لسٹ کھاتی ہوں مجھے بہت مزہ اتا ہے ان کا ذائقہ بہترین ہے اور یہ ہمیں بہت اچھی لگتے ہیں ہمارے اسکول میں لیز بہت مشہور ہیں ان کی پیکنگ بھی بہت خوبصورت ہے یہ سب سے مزیدار اور زبردست ہے لیز خستہ بھی ہے اور سستا بھی ہے اللہ حافظ,1
39.wav,پیپسی جو ہے نا وہ کبھی کبھار جب وہ سچویشن پر ڈیپینڈ کرتا ہے کہ کون سے اکثر بندہ کھانا جو ہے وہ کھا لیتا ہے تو یہ ہوتا ہے کہ مریضوں میں تھوڑا بوجھ بن جاتا ہے جو ہمارا کھانا ہوتا ہے جو ہم کھایا ہوتا ہے تو اس حالت میں میں ریکمنڈ کروں گا کہ اپ پیپسی جو ہے کیا کریں لیکن اگر خالی مائدہ ہو اور معدے میں کوئی بوجھ نہ ہو اپ کو ایسی جو ہے فن کے لئے وہ پیپسی جو ہے پیتے تو میں اپ کو ریکمنڈ کروں گا کہ نہ پیجئے لیکن وہ سچویشن پہ ڈیفنڈ کرتا ہے پینا بھی چاہیے یا نہیں بھی پینا چاہیے وہ اپ کو سچویشن پہ اور اپ پے مناسب ہے کہ اپ جو ہے وہ کیا کریں,0
40.wav,یار اپ پیپسی جو ہے نہ وہ بہت زیادہ بری چیز ہے پیپسی کو ہم نے نہیں پینا چاہیے جو بھی ہو بندے کو جو ہے وہ ایڈجسٹ کرنا چاہیے پیپسی کے بغیر کیونکہ پیپسی جو ہے اج کل ہر کوئی جو ہے پیپسی جو ہے اپ کا پینا جو ہے وہ عام ہو گیا ہے لیکن ہم جو ہے اس کی ڈس ایڈوانٹیج کو نہیں دیکھ رہی ہیں اور ہمیں اس کی ڈس ایڈوانٹیج کو مدنظر رکھتے ہوئے اس سے اوائڈ کرنا چاہیے اس کو پینا نہیں چاہیے تو یار بڑا فضول ہے تو پیپسی جو ہے ایک تو ہماری جسم کو نقصان بہت دیتا ہے تو اسی وجہ سے میں کمینٹ کرتا ہوں کہ پیپسی کوئی اچھی چیز نہیں ہے پینے کے لئے,2
41.wav,یار اچھا سونپ جو ہے نا وہ بڑی مزے کی کولڈرنگ کیا ہے کیونکہ اج کل ہر کوئی جو ہے سیون اپ کو جو ہے کھانے کے ساتھ پینا پسند کرتا ہے اور ہماری فیملی والی جب بھی کوئی کڑھائی ہے کوئی اسپیشل چیز بناتا ہے کھانے میں تو سیون اپ 7 میں وہ لینا پسند کرتا ہے کیونکہ سیون اپ کا جو ہے ذائقہ بھی اچھا ہے اور مزہ بھی اتا ہے پینے میں,1
42.wav,یار سیون کی بات کریں تو پینے میں تو مزہ اتا ہے لیکن اس کے نقصانات بھی بہت ہیں تو ہم نے اس کے نقصانات کو مدنظر رکھتے ہوئے اس چیز کو اوائڈ کرنا چاہیے ہمیں اور اس بارے میں ہمیں سیریس ہونا چاہیے کیونکہ اپنی ہیلتھ میں کمپرومائز نہیں کرنا چاہیے سو ڈیٹس وائی ائی ریکمنڈ یو ڈیٹ ڈونٹ یوز تھینک یو,2
43.wav,پیپسی جو ہے نا وہ بہت اچھی چیز ہے جب اپ کھانا کھا لیتے ہو اور اپ کی مہینے میں تھوڑا پشتو کھانا جو ہے تھوڑا بوجھ بن جاتا ہے تو میرے خیال سے پیپسی جو ہے وہ بیسٹ ہے کیونکہ وہ جو ہے اپ کے مہینے میں تھوڑا ڈائجیشن اپ کی معاہدہ جو ہے تھوڑا ہلکا ہوجاتا ہے اس سے تو میں اپ کو پیپسی جو ہے وہ ریکمنڈ کرتا ہوں,1
44.wav,پیپسی جو ہے نا وہ بہت اچھی چیز ہے جب اپ کھانا کھا لیتے ہو اور اپ کی مہینے میں تھوڑا پشتو کھانا جو ہے تھوڑا بوجھ بن جاتا ہے تو میرے خیال سے پیپسی جو ہے وہ بیسٹ ہے کیونکہ وہ جو ہے اپ کے مہینے میں تھوڑا ڈائجیشن اپ کی معاہدہ جو ہے تھوڑا ہلکا ہوجاتا ہے اس سے تو میں اپ کو پیپسی جو ہے وہ ریکمنڈ کرتا ہوں,1
45.wav,السلام علیکم میرا نام مرتضی ہے اور اج میں اپ کو سیون اپ کا ایک ریویو دوں گا سو 7:00 کے لیے تو بہت مزے کی ہوتی ہے میں پیتا ہوں اور سب پیتے ہیں اور ہر جگہ ریڈلی اویلیبل ہے اور یہ چیز بھی ہے سو میں اس کو جو ہے نائن اؤٹ اف 10 ریڈ کر,1
46.wav,میں نے لائک کرتا ہوں یہ میرے پسندیدہ ہے اس لئے یہ ساروں کو لائک کرنی چاہیے اس کے بہت اور بھی پلیر فلیور ہے تو اپ بھی یہ ٹرائی کریں یہ بہت اچھے لے جائیں,1
47.wav,السلام علیکم میرا نام مرتضی ہے اور اج میں پیپسی کا اپ کو ایک ویو دوں سو پیپسی جو ہے بہت مزے کا برانڈ ہے اور میں اس کو بہت اچھا ریٹ کروں گا اور پیپسی جو ہے ہر جگہ اپ کو ملتی ہے اور بہت اچھی بھی ہے تو اپ اس کو ضرور لیجئے گا اور جو ہے بہت اچھا برانڈ ہے اور اگر اپ میرے سے اس کی ریٹنگ مانگی تو میں اس کو 10 اؤٹ اف سوری ایٹ اؤٹ اف 10 ریٹ کرنا چاہتا ہوں,1
48.wav,السلام علیکم میرا نام مرتضی ہے اور اج میں لیس کے بارے میں اپ کو بتاؤں تو لیز ایک چپس برانڈ ہے جو بہت مزے کا ہے ہر جگہ اویلیبل ہوتا ہے اور میں بھی کھاتا ہوں اور سب لوگ کھاتے ہیں اور یہ چیف بھی ہے بہت,1
49.wav,السلام علیکم میرا نام مرتضی ہے اور اج میں اپ کو ایک شارٹ ریویو دوں گا 7 8 کا سیون اپ ایک بہت مزے کی ڈرنک ہے لیکن اس کا ایک ڈس ایڈوانٹیج بھی ہے اس کو جتنا زیادہ کنزیوم کرتے ہیں اور دیر سے ہوں کنزیوم کر رہے ہیں تو یہ اس کا ہماری سیٹ پہ بہت ہارم کو ایفیکٹ ہے سو سے نئی ریٹ کروں گا کہ یہ ہمارے پے ایک فارمولے اس کا ہماری باڈی کے اوپر,2
50.wav,السلام علیکم میرا نام مرتضی ہے اور اج میں سیون اپ کا ایک سالٹ ریویو دوں گا سو ایک بہت مزے کی فضیلت ہے کہ اس کو میں بہت شوق سے کرتا ہوں اور میرے فرینڈز بہت شوق سے پیتے ہیں اور یہ ہر جگہ اپ کو اویلیبل ہوتی ہے اور اس کی پرائس بھی کم ہے اور میں بھی بہت مزے کی,1
51.wav,السلام علیکم میرا نام مرتضی ہے اور اج میں اپ کو سیب نیٹ کا ایک شارٹ ریلیو دوں گا سو سیون اپ ایک بہت مزے کی فضیلت ہے سب ٹھیک ہے میں بھی پیتا ہوں اور یہاں پر ایک مسئلہ اتا ہے کہ ابھی جو ہے نہ جو پیپسی کو ہے انہوں نے اپنی پرائسز بہت انکریز کرنی ہے تو جس کی وجہ سے جو ہے عام ادمی جو ہے اس کو افورڈ نہیں کر سکتا اور جو پرائس ہے وہ زیادہ ہے اور کوانٹیٹی جو ہے وہ بہت کم کرتی ہے مطلب ماڈلز کا سائز چھوٹا کر دیا ہے سو اس لئے سیبنا میں ابھی اگر ریٹنگ تو 600,2
52.wav,السلام علیکم میرا نام مرتضی ہے اور اج میں اپ کو تھوڑا سا شورٹ ریویو دوں گا پیپسی کے پیپسی ایک بہت اچھی کمپنی ہے اور پیپسی ایک بہت اچھی کولر ڈریس جو ہے وہ ہے اور اس کو بہت زیادہ پیتے ہیں لوگ اور بہت ٹیسٹی ہوتی ہے مزے کی ہوتی ہے,1
53.wav,السلام علیکم میرا نام مرتضی ہے اور اج میں اپ کو پیپسی کا ایک شارٹ ریویو دوں گا تو دراصل پیپسی ایک بہت اچھی ایک ہیڈ ڈرنک ہے بٹ ان دی ادر ہینڈ اس کا ایک جو ہے ڈس ایڈوانٹیج دیا پیپسی کو کنزیوم کرنے کا وہ ڈس ایڈوانٹیج یہ ہے کہ پیپسی جو ہے وہ تو پیسج اف ٹائم اپ کے جو جسم ہے اس کو ڈیمج کرتی ہے ایک ایگزیمپل تھی کہ گوشت کا ٹکڑا جو تھا وہ پیپسی میں ڈالا گیا اگلے دن جب دیکھا گیا تو وہ پوری طرح سے خراب ہو چکا ہے پیپسی بہت ہارم فل ہے اپ کے لئے 100 اپ کو پیپسی تو نہیں کرنی چاہیے,2
54.wav,السلام علیکم میرا نام مرتضی ہے اور اج میں لیس کا ایک شارٹ سا ریویو دوں گا تو لیز جو ہے بیسیکلی لے تھے بہت اچھا برانڈ ہے اور ان کی چپسی بہت اچھے ہوتے ہیں بٹ اور تو پیسج اف ٹائم ان کی جو ہے کوانٹیٹی ود دا پرائس اف وتھ پرائز مطلب پرائز ٹو کوانٹیٹی ریشو بہت کم ہو رہا ہے یعنی پرائس بہت زیادہ ہو رہی ہے اور کوانٹیٹی جو ہے وہ بہت لیس ہو رہی ہے تو اس لیے جو ہے لیز جو ہے اس کو میں کہوں گا کہ ابھی کے ٹائم پر جو ہے اس کو میں ایک طرح سے نیوٹرل ریٹ کروں,0
